iter	Logloss
0	0.623929107
1	0.566320553
2	0.5173066997
3	0.4749481933
4	0.4401605091
5	0.4122332357
6	0.3885904653
7	0.3670407237
8	0.3491964442
9	0.3321900625
10	0.3182045403
11	0.304834079
12	0.2947422974
13	0.2856296738
14	0.275745382
15	0.2670997845
16	0.2607132235
17	0.254644874
18	0.2494319975
19	0.2437130141
20	0.2383537698
21	0.234266617
22	0.2304873667
23	0.2272398158
24	0.2233075747
25	0.2206996805
26	0.2174109191
27	0.2153217546
28	0.2130523283
29	0.2109345213
30	0.2089280942
31	0.2073151393
32	0.2051860748
33	0.2034346473
34	0.201793477
35	0.2000054602
36	0.198462277
37	0.1967366775
38	0.195790635
39	0.1942408454
40	0.1930835967
41	0.19213848
42	0.1913602336
43	0.1902649472
44	0.1893136224
45	0.1880469281
46	0.1864561306
47	0.1858611303
48	0.184663749
49	0.1835631098
50	0.182548773
51	0.1817122446
52	0.180806454
53	0.1797807841
54	0.1790609702
55	0.1781270982
56	0.1774781848
57	0.1765881078
58	0.1756037641
59	0.1752363723
60	0.1746724591
61	0.174320729
62	0.1738821476
63	0.1733830436
64	0.1723620665
65	0.1715042679
66	0.1708828123
67	0.1703259126
68	0.1696416192
69	0.169351356
70	0.168891908
71	0.1684321643
72	0.1677174957
73	0.1673186381
74	0.1668122106
75	0.1664807838
76	0.165996151
77	0.1655331834
78	0.1651220301
79	0.1646225344
80	0.1641835927
81	0.163827826
82	0.1635502513
83	0.163099943
84	0.1626727352
85	0.1620939867
86	0.1618536421
87	0.1612742825
88	0.1608699961
89	0.1603214777
90	0.1599708374
91	0.1595540482
92	0.1591709679
93	0.1584731517
94	0.1582689105
95	0.1580884041
96	0.1577563475
97	0.1575657004
98	0.1570304585
99	0.15675671
100	0.1565412645
101	0.1560036709
102	0.1555475097
103	0.1550975901
104	0.1547359801
105	0.1545344529
106	0.1541515125
107	0.1538246476
108	0.1533951175
109	0.1529350881
110	0.1525942239
111	0.1520906131
112	0.1516050028
113	0.1511651544
114	0.150896437
115	0.1505608927
116	0.1501476591
117	0.1498551228
118	0.1496350649
119	0.1494302433
120	0.1492402952
121	0.1488504384
122	0.1485851691
123	0.1481370634
124	0.1478273924
125	0.1475191067
126	0.1473329029
127	0.1469456617
128	0.1466070939
129	0.1461126063
130	0.1459112922
131	0.1456890149
132	0.1454973795
133	0.1451926617
134	0.1448855516
135	0.1446392457
136	0.1443630322
137	0.1441832462
138	0.1440473422
139	0.143667259
140	0.1434668158
141	0.1430827994
142	0.1430057087
143	0.1428475075
144	0.142539639
145	0.1423345358
146	0.1421627953
147	0.1419020001
148	0.1417589418
149	0.1414571551
150	0.1412416289
151	0.1407627683
152	0.1405489804
153	0.1403362291
154	0.1398645073
155	0.1395220387
156	0.1393034251
157	0.139026042
158	0.1387980176
159	0.1385277733
160	0.138374499
161	0.1380890071
162	0.1379654616
163	0.1377715763
164	0.1376305833
165	0.137464028
166	0.1373158771
167	0.1369116075
168	0.1366237745
169	0.1363656229
170	0.136200781
171	0.1359529923
172	0.1356673993
173	0.1353742229
174	0.1351627494
175	0.1348552719
176	0.1345941402
177	0.1342820774
178	0.1340652539
179	0.1338669327
180	0.1336413744
181	0.1334725211
182	0.1332035702
183	0.1330543215
184	0.1329184217
185	0.132690569
186	0.132502366
187	0.1322643274
188	0.1320095248
189	0.1318335764
190	0.1314859568
191	0.1313262375
192	0.1312269229
193	0.1310637345
194	0.1307197228
195	0.130444367
196	0.1301288213
197	0.1298948462
198	0.1297014426
199	0.1294655399
200	0.1292384341
201	0.1291193988
202	0.1289207422
203	0.1286265614
204	0.1284322379
205	0.128301796
206	0.1280355087
207	0.1279299868
208	0.1276055372
209	0.1273864668
210	0.1271846931
211	0.1268819282
212	0.12658668
213	0.1264500505
214	0.1263478826
215	0.1261413591
216	0.1259975864
217	0.1256793723
218	0.1254591827
219	0.1252888209
220	0.1250259226
221	0.1247820989
222	0.1245859431
223	0.1243794209
224	0.1241023081
225	0.1238891454
226	0.1236519936
227	0.1234194441
228	0.1231790556
229	0.1230152444
230	0.1228855396
231	0.1227118043
232	0.1225504863
233	0.1223669716
234	0.122186649
235	0.1218023941
236	0.1215659058
237	0.1213846555
238	0.1211355973
239	0.1210500856
240	0.1207871605
241	0.1204760747
242	0.120250735
243	0.1200576415
244	0.1198377139
245	0.1197119849
246	0.119512741
247	0.1194313365
248	0.1192334759
249	0.1189708468
250	0.1187776563
251	0.118588824
252	0.1183658702
253	0.1182066581
254	0.1179804005
255	0.1179029896
256	0.1176841614
257	0.1174707425
258	0.1174080648
259	0.1172731389
260	0.1170680827
261	0.1168670327
262	0.1168097856
263	0.1166186697
264	0.1164937692
265	0.1163070714
266	0.1162116518
267	0.1160688043
268	0.1158945394
269	0.1157254462
270	0.1155857203
271	0.1153593939
272	0.1151407454
273	0.1149766381
274	0.1148086093
275	0.1145862655
276	0.1144609156
277	0.1142678762
278	0.1142001927
279	0.1140184009
280	0.11387508
281	0.1136486559
282	0.1135039756
283	0.1133319841
284	0.1131348518
285	0.1129817677
286	0.1128578668
287	0.1127237633
288	0.1125726472
289	0.1124143941
290	0.11234219
291	0.1122308337
292	0.1121196693
293	0.1120230356
294	0.1119717884
295	0.1118876009
296	0.1117654515
297	0.1116296684
298	0.1115362881
299	0.1114495776
300	0.111288977
301	0.1111735289
302	0.1110013027
303	0.1109077938
304	0.1107375514
305	0.1105477294
306	0.1104502711
307	0.1103730346
308	0.1101996256
309	0.1100595907
310	0.1099796149
311	0.1099517361
312	0.1097590412
313	0.1096018299
314	0.1094190042
315	0.1092927879
316	0.1092184664
317	0.1090763637
318	0.1089227973
319	0.1087720351
320	0.1086058754
321	0.1084688427
322	0.1083181944
323	0.1081515942
324	0.1079820466
325	0.1078303035
326	0.1077163874
327	0.1075759889
328	0.1074346034
329	0.1073158265
330	0.1071817687
331	0.1069706066
332	0.1068854024
333	0.1067189104
334	0.106659048
335	0.1065811083
336	0.1065356979
337	0.1063906655
338	0.1063718842
339	0.1062090756
340	0.1060101291
341	0.1058691536
342	0.1057614242
343	0.105597775
344	0.1055010111
345	0.1053907941
346	0.105232248
347	0.1050351066
348	0.1049405286
349	0.1047742562
350	0.1046172392
351	0.1044195275
352	0.1042408385
353	0.1041474018
354	0.1039752697
355	0.1038818419
356	0.1038385483
357	0.1037272218
358	0.103612281
359	0.1035101268
360	0.1033914918
361	0.1033528367
362	0.1032473074
363	0.1032167747
364	0.1032022256
365	0.1030956266
366	0.1030831482
367	0.1030468525
368	0.102910805
369	0.10273996
370	0.1026809811
371	0.1025749344
372	0.1024388941
373	0.1022974522
374	0.1022329723
375	0.102065385
376	0.1020267659
377	0.1019385223
378	0.1019182732
379	0.1017740275
380	0.1017028423
381	0.1016840289
382	0.1015106388
383	0.1014162419
384	0.1012684703
385	0.1011627794
386	0.1010397977
387	0.1009379879
388	0.1008134411
389	0.1007823164
390	0.1006446321
391	0.1004731063
392	0.1002891331
393	0.1001921156
394	0.1000363754
395	0.09993292433
396	0.09984720815
397	0.09973725399
398	0.09959334037
399	0.09942606571
400	0.09932940739
401	0.09927942476
402	0.09919907821
403	0.09911206374
404	0.09895169734
405	0.0989151082
406	0.09885278319
407	0.09875004583
408	0.09866065907
409	0.09857858775
410	0.0985225278
411	0.09845016976
412	0.09834398044
413	0.09819494844
414	0.0981321027
415	0.09804086064
416	0.09795768924
417	0.09777706846
418	0.09768519475
419	0.09753584323
420	0.09738715441
421	0.09728949031
422	0.09721550962
423	0.09708979598
424	0.09698087694
425	0.09691462139
426	0.09682390982
427	0.09669015674
428	0.09657799302
429	0.09640740716
430	0.0962146026
431	0.09610932052
432	0.09595944552
433	0.09590135348
434	0.09576670841
435	0.09568872365
436	0.09562483077
437	0.09546487265
438	0.09538401003
439	0.09530198217
440	0.09523923724
441	0.09510142303
442	0.09499822937
443	0.09490203427
444	0.09482838868
445	0.09474383152
446	0.09458111014
447	0.09448710498
448	0.09443303749
449	0.09432841931
450	0.09423716219
451	0.09409790971
452	0.09400820741
453	0.09391075621
454	0.09381296602
455	0.09373773743
456	0.09372443441
457	0.09363112804
458	0.093517196
459	0.09342161199
460	0.09330264518
461	0.09319795019
462	0.0930546475
463	0.09295411123
464	0.09282730179
465	0.09274082914
466	0.09267450884
467	0.0926167065
468	0.09258184303
469	0.09249714903
470	0.09243514904
471	0.09232622426
472	0.09221554504
473	0.09210799526
474	0.09202577157
475	0.09198130609
476	0.09189190106
477	0.09180356215
478	0.09167820069
479	0.09162862698
480	0.09154764634
481	0.09146029629
482	0.09135187376
483	0.09129166864
484	0.09123126402
485	0.09112126808
486	0.09098349191
487	0.09087490175
488	0.09073821728
489	0.09063656789
490	0.09053926846
491	0.09037459028
492	0.09030136281
493	0.09023085912
494	0.09018468635
495	0.08996641425
496	0.08986054728
497	0.08975279006
498	0.08966390397
499	0.08958525746
500	0.08939601185
501	0.08930233372
502	0.08921287493
503	0.08917337679
504	0.0890807954
505	0.08898752725
506	0.08889077047
507	0.08879852568
508	0.08863875394
509	0.08852792975
510	0.08845646594
511	0.08837020397
512	0.08826337648
513	0.08814795136
514	0.08807160928
515	0.08798031625
516	0.08789199833
517	0.08774674324
518	0.08768811966
519	0.08761693935
520	0.08754346529
521	0.08742233282
522	0.08731361868
523	0.08725017952
524	0.08713814569
525	0.08700361238
526	0.08691331891
527	0.08682596714
528	0.08669930898
529	0.08663867088
530	0.08653902986
531	0.08646269492
532	0.08633505502
533	0.08629368005
534	0.08623307068
535	0.08615339259
536	0.0860732307
537	0.08597637605
538	0.08589560957
539	0.08588317361
540	0.0857154542
541	0.08555231915
542	0.08544632752
543	0.08534265461
544	0.08528158525
545	0.08517804984
546	0.08511028949
547	0.08502537748
548	0.08491491631
549	0.0848258209
550	0.08477919516
551	0.08468220701
552	0.0846022414
553	0.08451969281
554	0.08445352
555	0.08443833549
556	0.0843510089
557	0.08427291303
558	0.08418157823
559	0.08412735569
560	0.08404715331
561	0.08400736203
562	0.08392375503
563	0.08384734104
564	0.0837769687
565	0.08369288355
566	0.08362089032
567	0.08355241283
568	0.08351354216
569	0.0833666893
570	0.08328642663
571	0.08323751376
572	0.08312959962
573	0.08302365576
574	0.082927789
575	0.08288082159
576	0.08281182123
577	0.08270581128
578	0.08264792721
579	0.0826079272
580	0.08253777239
581	0.08249799047
582	0.08237806595
583	0.08235761501
584	0.08224372057
585	0.08213621746
586	0.08205052151
587	0.08195392665
588	0.08189370875
589	0.08179792489
590	0.08177205139
591	0.08165220805
592	0.08156169314
593	0.08150615858
594	0.08147475538
595	0.08144119025
596	0.0812847295
597	0.0812532196
598	0.08116175024
599	0.08109532872
600	0.08101971302
601	0.08093630813
602	0.08085762765
603	0.08079885253
604	0.0807854875
605	0.08073987243
606	0.08070407041
607	0.08062521999
608	0.08055930341
609	0.08051130853
610	0.08039367279
611	0.0803334658
612	0.08029578453
613	0.08027730211
614	0.080179954
615	0.08010311432
616	0.08003996964
617	0.07996165258
618	0.07988803794
619	0.07983385239
620	0.07975471286
621	0.07971794997
622	0.0796593763
623	0.07956439608
624	0.07948890134
625	0.07938374444
626	0.07933280428
627	0.07926880957
628	0.07919089625
629	0.0790951177
630	0.07899153151
631	0.07889622882
632	0.07885132437
633	0.07881023893
634	0.07873004364
635	0.07865962413
636	0.07860662606
637	0.07856300743
638	0.0784995109
639	0.07845842008
640	0.07838017261
641	0.07834603209
642	0.07824393228
643	0.07820294173
644	0.0781537892
645	0.07806516262
646	0.07804197872
647	0.07794453584
648	0.07786069232
649	0.077779392
650	0.07771440741
651	0.07763122269
652	0.07756300585
653	0.07747635769
654	0.07742989368
655	0.07741423104
656	0.07735592434
657	0.07730973825
658	0.07725075624
659	0.07721337822
660	0.0771480431
661	0.07701879969
662	0.07693488687
663	0.07690749192
664	0.07680318128
665	0.07677800487
666	0.07676382661
667	0.07671794745
668	0.0766710651
669	0.07665416317
670	0.07657736209
671	0.07651865685
672	0.07648752732
673	0.07644101826
674	0.07639149373
675	0.07636379808
676	0.07634054671
677	0.07627227135
678	0.0762199997
679	0.07616681574
680	0.07611507726
681	0.07604049361
682	0.07602570851
683	0.07598811549
684	0.07591348208
685	0.07582278988
686	0.07577852653
687	0.07575222779
688	0.07570234686
689	0.07565671978
690	0.07559772368
691	0.07553852428
692	0.07546563584
693	0.07542683138
694	0.07539659601
695	0.07537688211
696	0.07531660452
697	0.07530767339
698	0.07523518487
699	0.07505471123
700	0.07501043825
701	0.07491620983
702	0.07490467794
703	0.07484082115
704	0.07475922818
705	0.0747067648
706	0.07462813443
707	0.0745829897
708	0.07453106634
709	0.07445225715
710	0.07441193996
711	0.07434886261
712	0.07428036357
713	0.07422496782
714	0.07417576363
715	0.07415890638
716	0.07411780046
717	0.0740502984
718	0.07400031501
719	0.07396181709
720	0.07388785567
721	0.07380887415
722	0.07376172289
723	0.07369671532
724	0.07363195143
725	0.07356751827
726	0.07351126501
727	0.07343088663
728	0.07334545244
729	0.07330644212
730	0.07324581765
731	0.07319605129
732	0.07312616216
733	0.07304997831
734	0.0730087816
735	0.07296560377
736	0.07292740821
737	0.07286893833
738	0.07279793132
739	0.07278261248
740	0.07272925101
741	0.07269503168
742	0.0726417162
743	0.07261800067
744	0.07255906837
745	0.07251020816
746	0.07244410898
747	0.0723938018
748	0.07233047301
749	0.07231510411
750	0.07225871992
751	0.07220112584
752	0.07218065839
753	0.07210321916
754	0.07203558949
755	0.0720254697
756	0.0719968738
757	0.07197403745
758	0.07193479891
759	0.07190987231
760	0.07184630322
761	0.07179580142
762	0.07169775339
763	0.07164123548
764	0.07157457682
765	0.07151832372
766	0.07148356926
767	0.07141777505
768	0.07133913932
769	0.0712962092
770	0.07121614796
771	0.07116438728
772	0.07111948486
773	0.07110617178
774	0.07101981209
775	0.07097006839
776	0.07092968874
777	0.070887232
778	0.07085953752
779	0.07082134439
780	0.07074559052
781	0.07065697467
782	0.07057873965
783	0.07050117427
784	0.07046970211
785	0.07040978481
786	0.07034540132
787	0.07033201422
788	0.07029675775
789	0.07028258247
790	0.07024606609
791	0.07020902818
792	0.0701172724
793	0.07005965497
794	0.06999984559
795	0.06992219105
796	0.06985026786
797	0.0697994307
798	0.0697430663
799	0.06968856541
800	0.06963173127
801	0.069622846
802	0.06960114213
803	0.06954231892
804	0.06948467563
