iter	Passed	Remaining
0	22	22707
1	45	22857
2	66	22028
3	141	35250
4	175	34990
5	197	32654
6	217	30870
7	242	30008
8	262	28947
9	284	28179
10	308	27732
11	330	27212
12	353	26806
13	375	26432
14	395	25983
15	417	25653
16	440	25478
17	462	25252
18	483	24987
19	506	24834
20	527	24599
21	549	24437
22	572	24301
23	592	24107
24	615	23997
25	638	23902
26	658	23748
27	680	23614
28	701	23485
29	722	23350
30	742	23213
31	764	23135
32	785	23026
33	806	22912
34	829	22868
35	852	22827
36	875	22785
37	897	22712
38	917	22597
39	937	22490
40	959	22447
41	981	22390
42	1002	22317
43	1026	22301
44	1050	22291
45	1073	22260
46	1096	22232
47	1118	22183
48	1141	22149
49	1166	22157
50	1188	22121
51	1213	22127
52	1235	22081
53	1315	23040
54	1384	23784
55	1412	23812
56	1432	23703
57	1453	23611
58	1479	23594
59	1499	23494
60	1521	23422
61	1542	23333
62	1564	23266
63	1584	23173
64	1607	23118
65	1628	23045
66	1649	22963
67	1671	22913
68	1694	22860
69	1715	22789
70	1736	22715
71	1757	22647
72	1778	22589
73	1799	22520
74	1823	22494
75	1845	22433
76	1866	22373
77	1888	22325
78	1909	22255
79	1929	22194
80	1952	22147
81	1972	22085
82	1992	22012
83	2013	21961
84	2035	21912
85	2056	21851
86	2075	21782
87	2097	21737
88	2119	21694
89	2141	21657
90	2162	21606
91	2183	21550
92	2204	21495
93	2225	21445
94	2246	21398
95	2265	21335
96	2287	21294
97	2307	21234
98	2330	21207
99	2351	21164
100	2370	21095
101	2392	21059
102	2412	21009
103	2433	20962
104	2454	20924
105	2473	20863
106	2495	20825
107	2517	20789
108	2539	20755
109	2562	20733
110	2582	20684
111	2603	20642
112	2624	20601
113	2647	20574
114	2667	20524
115	2686	20473
116	2708	20442
117	2729	20398
118	2748	20351
119	2768	20302
120	2788	20260
121	2811	20231
122	2831	20188
123	2851	20145
124	2874	20122
125	2896	20093
126	2916	20051
127	2938	20021
128	2960	19992
129	2981	19953
130	3000	19904
131	3021	19868
132	3042	19833
133	3063	19799
134	3083	19760
135	3105	19731
136	3127	19698
137	3147	19661
138	3166	19615
139	3187	19581
140	3206	19537
141	3228	19505
142	3246	19459
143	3265	19410
144	3288	19389
145	3311	19369
146	3332	19336
147	3352	19298
148	3373	19264
149	3392	19225
150	3412	19187
151	3434	19160
152	3454	19123
153	3475	19092
154	3495	19056
155	3517	19031
156	3538	18999
157	3559	18970
158	3580	18937
159	3602	18913
160	3622	18878
161	3643	18847
162	3663	18811
163	3684	18779
164	3705	18751
165	3724	18709
166	3747	18693
167	3769	18668
168	3791	18641
169	3814	18621
170	3833	18586
171	3856	18563
172	3876	18529
173	3895	18494
174	3915	18460
175	3935	18423
176	3954	18384
177	3974	18356
178	3997	18334
179	4018	18308
180	4040	18282
181	4061	18254
182	4081	18222
183	4104	18201
184	4125	18173
185	4147	18151
186	4167	18120
187	4189	18093
188	4211	18070
189	4232	18044
190	4253	18018
191	4274	17990
192	4294	17958
193	4316	17933
194	4338	17911
195	4360	17888
196	4380	17856
197	4400	17822
198	4421	17796
199	4442	17769
200	4463	17742
201	4482	17708
202	4505	17688
203	4527	17664
204	4546	17630
205	4565	17596
206	4584	17563
207	4602	17526
208	4625	17506
209	4694	17661
210	4753	17773
211	4776	17753
212	4795	17719
213	4817	17693
214	4835	17656
215	4855	17624
216	4878	17604
217	4899	17576
218	4920	17547
219	4939	17513
220	4961	17489
221	4981	17458
222	5001	17425
223	5022	17397
224	5042	17368
225	5063	17341
226	5084	17315
227	5106	17290
228	5128	17266
229	5147	17234
230	5167	17201
231	5188	17175
232	5208	17145
233	5230	17121
234	5251	17094
235	5273	17073
236	5294	17044
237	5313	17012
238	5336	16991
239	5356	16962
240	5377	16934
241	5397	16905
242	5416	16874
243	5437	16846
244	5458	16821
245	5477	16790
246	5498	16764
247	5518	16734
248	5542	16715
249	5563	16689
250	5586	16671
251	5607	16645
252	5629	16620
253	5651	16599
254	5673	16575
255	5693	16547
256	5717	16528
257	5741	16511
258	5762	16485
259	5784	16463
260	5808	16445
261	5831	16425
262	5852	16400
263	5874	16376
264	5895	16351
265	5917	16327
266	5937	16301
267	5958	16275
268	5981	16254
269	6003	16232
270	6025	16208
271	6049	16190
272	6071	16169
273	6092	16143
274	6115	16123
275	6138	16101
276	6159	16077
277	6182	16057
278	6202	16029
279	6225	16009
280	6247	15985
281	6269	15963
282	6292	15941
283	6316	15924
284	6337	15898
285	6358	15874
286	6379	15848
287	6398	15819
288	6418	15789
289	6437	15759
290	6458	15734
291	6478	15709
292	6498	15681
293	6519	15656
294	6538	15626
295	6558	15598
296	6579	15572
297	6598	15543
298	6617	15513
299	6636	15484
300	6655	15456
301	6675	15428
302	6695	15401
303	6714	15372
304	6736	15350
305	6757	15325
306	6778	15300
307	6796	15271
308	6817	15246
309	6838	15222
310	6858	15194
311	6878	15168
312	6899	15144
313	6923	15125
314	6943	15098
315	6962	15069
316	6982	15043
317	7004	15022
318	7024	14996
319	7046	14974
320	7067	14949
321	7088	14924
322	7108	14898
323	7127	14870
324	7148	14846
325	7170	14824
326	7191	14800
327	7211	14774
328	7233	14753
329	7254	14728
330	7273	14701
331	7295	14678
332	7318	14658
333	7340	14637
334	7359	14609
335	7378	14581
336	7397	14554
337	7419	14532
338	7437	14502
339	7457	14476
340	7478	14453
341	7500	14430
342	7520	14404
343	7539	14376
344	7559	14351
345	7581	14329
346	7602	14306
347	7622	14280
348	7641	14253
349	7663	14231
350	7683	14207
351	7705	14184
352	7729	14166
353	7752	14147
354	7773	14122
355	7793	14097
356	7812	14071
357	7832	14045
358	7854	14024
359	7874	13999
360	7894	13973
361	7913	13947
362	7932	13920
363	7951	13892
364	7971	13867
365	7991	13843
366	8010	13816
367	8029	13789
368	8050	13765
369	8072	13744
370	8093	13721
371	8113	13697
372	8132	13670
373	8152	13644
374	8173	13622
375	8194	13599
376	8212	13571
377	8232	13547
378	8252	13521
379	8273	13498
380	8294	13475
381	8312	13448
382	8334	13426
383	8352	13399
384	8373	13376
385	8395	13353
386	8414	13328
387	8435	13304
388	8456	13282
389	8475	13256
390	8498	13237
391	8520	13214
392	8539	13190
393	8559	13165
394	8579	13140
395	8601	13119
396	8620	13094
397	8641	13070
398	8660	13045
399	8728	13092
400	8775	13109
401	8797	13086
402	8816	13061
403	8836	13035
404	8856	13011
405	8877	12988
406	8898	12965
407	8920	12942
408	8940	12919
409	8959	12892
410	8978	12867
411	9001	12847
412	9024	12827
413	9045	12803
414	9063	12775
415	9084	12752
416	9104	12729
417	9125	12705
418	9144	12680
419	9163	12654
420	9184	12630
421	9203	12606
422	9223	12581
423	9244	12558
424	9267	12538
425	9286	12512
426	9308	12490
427	9330	12469
428	9351	12446
429	9371	12422
430	9392	12399
431	9414	12378
432	9435	12355
433	9453	12329
434	9474	12305
435	9495	12283
436	9515	12258
437	9579	12291
438	9618	12291
439	9641	12270
440	9661	12246
441	9682	12224
442	9701	12198
443	9720	12172
444	9740	12148
445	9761	12124
446	9781	12100
447	9801	12076
448	9821	12052
449	9841	12028
450	9863	12006
451	9885	11985
452	9904	11960
453	9925	11936
454	9944	11911
455	9966	11889
456	9984	11862
457	10004	11838
458	10026	11817
459	10048	11796
460	10070	11773
